<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
British journal of pharmacology.|99157801180001452|00071188|00071188|
British journal of psychology.|99157801970001452|00071269|00071269|
British journal of psychotherapy.|99157848850001452|02659883|02659883|
British journal of sports medicine.|99157228890001452|03063674|03063674|
British journal of surgery [electronic resource].|99157801820001452|00071323|00071323|
British journal of venereal diseases.|99161958026501452|0007134X|0007134X|
British medical bulletin [electronic resource].|99157650300001452|00071420|00071420|
British poultry science [electronic resource].|99157801960001452|00071668|00071668|
Bulletin de l'AcadÃ©mie nationale de mÃ©decine.|99161857914301452|00014079|00014079|
Bulletin de la SociÃ©tÃ© de pathologie exotique et de ses filiales.|99157585110001452|00379085|00379085|
Bulletin of emergency &amp; trauma.|99158668420001452|23222522|23222522|
Bulletin of entomological research.|99158482180001452|00074853|00074853|
Bulletin of environmental contamination and toxicology [electronic resource].|99158517680001452|00074861|00074861|
Bulletin of mathematical biology.|99158446270001452|00928240|00928240|
Bulletin of the American College of Surgeons.|99157442150001452|00028045|00028045|
Bulletin of the Faculty of Pharmacy, Cairo University.|99161967553501452|11100931|11100931|
Bulletin of the Menninger Clinic.|99157820200001452|00259284|00259284|
Bulletin of the World Health Organization.|99157349670001452|00429686|00429686|
Bulletin of the history of medicine [e-journal].|99161761265601452|00075140|00075140|
Bulletin on narcotics.|99157443510001452|0007523X|0007523X|
Burnout research.|99161778059801452|22130586|22130586|
Burns.|99158435110001452|03054179|03054179|
CA : a cancer journal for clinicians.|99157332320001452|00079235|00079235|
CANNT journal = Journal ACITN.|99158193350001452|14985136|14985136|
CBE life sciences education.|99161953839301452|19317913|19317913|
CDC public health law news / from the Public Health Legal Response and Preparedness Clearinghouse, Public Health Law Program, Public Health Practice Program Office, CDC.|99142797320001452|15570428|15570428|
CMH.|99157402050001452|22872728|22872728|
CNS drugs [electronic resource].|99157801340001452|11727047|11727047|
CNS neuroscience &amp; therapeutics.|99157843530001452|17555930|17555930|
CNS oncology.|99161956248101452|20450907|20450907|
CNS spectrums.|99161948349101452|10928529|10928529|
COPD : journal of chronic obstructive pulmonary disease.|99157817810001452|15412555|15412555|
CPT: pharmacometrics &amp; systems pharmacology.|99157417080001452|21638306|21638306|
CQ weekly.|99140531290001452|15215997|15215997|
Cadernos de saÃºde pÃºblica [electronic resource] = Reports in public health : publication of the Escola Nacional de SaÃºde PÃºblica, FundaÃ§Ã£o Oswaldo Cruz.|99157348710001452|0102311X|0102311X|
Calcified tissue international [electronic resource].|99158908630001452|0171967X|0171967X|
Cambridge quarterly of healthcare ethics [electronic resource].|99161948351901452|09631801|09631801|
Canadian Association of Radiologists journal = Journal de l'Association canadienne des radiologistes.|99157801870001452|08465371|08465371|
Canadian Medical Association journal [electronic resource].|99158336620001452|08203946|08203946|
Canadian Medical Association journal.|99161958025101452|00084409|00084409|
Canadian family physician.|99157350320001452|0008350X|0008350X|
Canadian journal of anaesthesia.|99158518410001452|0832610X|0832610X|
Canadian journal of cardiovascular nursing [electronic resource].|99158209570001452|08436096|08436096|
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiÃ¨ne dentaire : JCHD.|99157630790001452|1712171X|1712171X|
Canadian journal of diabetes.|99157358610001452|14992671|14992671|
Canadian journal of dietetic practice and research = Revue canadienne de la pratique et de la recherche en diÃ©tÃ©tique.|99158193750001452|14863847|14863847|
Canadian journal of emergency medicine.|99158336270001452|14818035|14818035|
Canadian journal of experimental psychology : Revue canadienne de psychologie expÃ©rimentale.|99158253320001452|11961961|11961961|
Canadian journal of gastroenterology &amp; hepatology = Journal canadien de gastroenterologie et hepatologie.|99161927692401452|22912789|22912789|
Canadian journal of human sexuality.|99157801950001452|11884517|11884517|
Canadian journal of microbiology = Revue canadienne de microbiologie.|99157820470001452|00084166|00084166|
Canadian journal of neuroscience nursing [electronic resource].|99158191310001452|19137176|19137176|
Canadian journal of occupational therapy = Revue canadienne d'ergothÃ©rapie.|99158336810001452|00084174|00084174|
Canadian journal of ophthalmology.|99158434550001452|00084182|00084182|
Canadian journal of physiology and pharmacology = Revue canadienne de physiologie et pharmacologie.|99157820450001452|00084212|00084212|
Canadian journal of psychiatry = Revue canadienne de psychiatrie.|99157477540001452|07067437|07067437|
Canadian journal of public health.|99158336260001452|00084263|00084263|
Canadian journal of respiratory therapy : CJRT = Revue canadienne de la thÃ©rapie respiratoire : RCTR.|99158193470001452|12059838|12059838|
Canadian journal of rural medicine [electronic resource] = Journal canadien de la mÃ©decine rurale.|99157350540001452|12037796|12037796|
Canadian journal of speech-language pathology and audiology [electronic resource] : CJSLPA = Revue canadienne d'orthophonie et d'audiologie : RCOA.|99157389150001452|1913200X|1913200X|
Canadian journal of surgery = Journal canadien de chirurgie.|99157435030001452|0008428X|0008428X|
Canadian journal of veterinary research = Revue canadienne de recherche vÃ©tÃ©rinaire.|99161763653501452|08309000|08309000|
Canadian journal on aging [e-journal] = La revue canadienne du vieillissement.|99158336950001452|07149808|07149808|
Canadian nursing home.|99158192930001452|08475520|08475520|
Canadian oncology nursing journal = Revue canadienne de nursing oncologique.|99161942502301452|1181912X|1181912X|
Canadian operating room nursing journal.|99158192470001452|07126778|07126778|
Canadian pharmacists journal : CPJ = Revue des pharmaciens du Canada : RPC.|99157442130001452|17151635|17151635|
Canadian respiratory journal.|99161927692701452|11982241|11982241|
Canadian social work = Travail social canadien.|99158899960001452|17170656|17170656|
Cancer &amp; metabolism.|99157229260001452|20493002|20493002|
Cancer and metastasis reviews [electronic resource].|99158336930001452|01677659|01677659|
Cancer biology &amp; medicine.|99157430060001452|20953941|20953941|
Cancer biology &amp; therapy.|99157577420001452|15384047|15384047|
Cancer biomarkers : section A of Disease markers.|99157801680001452|15740153|15740153|
Cancer biotherapy &amp; radiopharmaceuticals [electronic resource].|99157770440001452|10849785|10849785|
Cancer causes &amp; control [electronic resource].|99158307240001452|09575243|09575243|
Cancer cell [electronic resource].|99161967514401452|15356108|15356108|
Cancer chemotherapy and pharmacology [electronic resource].|99158517420001452|03445704|03445704|
Cancer cytopathology.|99158528050001452|1934662X|1934662X|
Cancer discovery.|99158464620001452|21598274|21598274|
Cancer discovery.|99152019520001452|21598274|21598274|
Cancer epidemiology biomarkers &amp; prevention [electronic resource].|99157510440001452|10559965|10559965|
Cancer epidemiology.|99158435310001452|18777821|18777821|
Cancer forum.|99157503490001452|0311306X|0311306X|
Cancer gene therapy.|99157719360001452|09291903|09291903|
Cancer genetics.|99158433230001452|22107762|22107762|
Cancer genomics &amp; proteomics.|99157649750001452|11096535|11096535|
Cancer immunity [electronic resource] : a journal of the Academy of Cancer Immunology.|99161806411301452|14249634|14249634|
Cancer immunology research.|99161787686301452|23266066|23266066|
Cancer immunology, immunotherapy [electronic resource].|99158517210001452|03407004|03407004|
Cancer informatics.|99157343580001452|11769351|11769351|
Cancer investigation [electronic resource].|99157801610001452|07357907|07357907|
Cancer letters.|99158434480001452|03043835|03043835|
Cancer management and research.|99157361790001452|11791322|11791322|
Cancer medicine.|99157404920001452|20457634|20457634|
Cancer microenvironment : official journal of the International Cancer Microenvironment Society.|99137516910001452|18752284|18752284|
Cancer microenvironment [electronic resource] : official journal of the International Cancer Microenvironment Society.|99161958025001452|18752292|18752292|
Cancer nanotechnology.|99161785761401452|18686958|18686958|
Cancer nursing.|99158506540001452|0162220X|0162220X|
Cancer prevention research.|99157650530001452|19406207|19406207|
Cancer radiothÃ©rapie [electronic resource].|99161967658201452|12783218|12783218|
Cancer research [electronic resource].|99157649580001452|00085472|00085472|
Cancer research and treatment : official journal of Korean Cancer Association.|99157576270001452|15982998|15982998|
Cancer reviews online.|99158464600001452|1935620X|1935620X|
Cancer science.|99157780210001452|13479032|13479032|
Cancer therapy.|99157841540001452|15439135|15439135|
Cancer treatment communications.|99161268100001452|22130896|22130896|
Cancer treatment reviews.|99158435990001452|03057372|03057372|
Cancer.|99157792490001452|0008543X|0008543X|
CancerologiÌ&#x81;a : revista del Instituto Nacional de CancerologiÌ&#x81;a.|99137133120001452|18704573|18704573|
Cancers.|99157377340001452|20726694|20726694|
Carbohydrate polymers [electronic resource].|99161967622701452|01448617|01448617|
Carbohydrate research.|99161967630101452|00086215|00086215|
Carcinogenesis [electronic resource].|99157517340001452|01433334|01433334|
Cardiac electrophysiology clinics.|99158433400001452|18779182|18779182|
Cardiogenetics.|99157397340001452|20358253|20358253|
Cardiology [electronic resource].|99157770810001452|00086312|00086312|
Cardiology and therapy.|99161784261301452|21938261|21938261|
Cardiology clinics [electronic resource].|99158436040001452|07338651|07338651|
Cardiology in review [electronic resource].|99158506790001452|10615377|10615377|
Cardiology in the young.|99157801210001452|10479511|10479511|
Cardiology journal.|99157568430001452|18975593|18975593|
Cardiology research and practice.|99157380870001452|20908016|20908016|
Cardiology research.|99157377990001452|19232829|19232829|
Cardiology review.|99157820040001452|10926607|10926607|
Cardiometry.|99159430180001452|23047232|23047232|
Cardiopulmonary physical therapy journal.|99158193190001452|15417891|15417891|
Cardiorenal medicine.|99161958024901452|16643828|16643828|
Cardiovascular and interventional radiology.|99158517000001452|01741551|01741551|
Cardiovascular journal of Africa.|99161932658401452|19951892|19951892|
Cardiovascular pathology [electronic resource].|99158435040001452|10548807|10548807|
Cardiovascular psychiatry and neurology.|99157380850001452|20900163|20900163|
Cardiovascular research [electronic resource].|99157514390001452|00086363|00086363|
Cardiovascular revascularization medicine.|99158436100001452|15538389|15538389|
Cardiovascular therapeutics.|99157792420001452|17555914|17555914|
Care management journals.|99158192630001452|15210987|15210987|
Caries research.|99157770500001452|00086568|00086568|
Cartilage [electronic resource].|99158519850001452|19476035|19476035|
Case reports in cardiology.|99157396670001452|20906404|20906404|
