Title	MMSID	ISSN	ISSN1	ISSN		
Dental press journal of orthodontics.	99157430010001452	2176-9451	2177-6709	2176-9451		
Dental traumatology : official publication of International Association for Dental Traumatology.	99158527300001452	1600-4469	1600-9657	1600-4469		
Dental update.		0305-5000		0305-5000		
Dentistry today.	99157579720001452	8750-2186		8750-2186		
Dento maxillo facial radiology. International Association of Maxillofacial Radiology & British Institute of Radiology.	99158457060001452	0250-832X	1476-542X	0250-832X		
Depression and anxiety.	99157817550001452	1091-4269	1520-6394	1091-4269		
Der Chirurg:  Zeitschrift f?É?Ær alle gebiete der operativen Medizen.		 	1433-0385	 		
Der ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen gesellschaft.	 	0941-293X	1433-0423	0941-293X		
Der orthop???de.	 	0085-4530	1433-0431	0085-4530		
Der pathologe.	 	0172-8113	1432-1963	0172-8113		
Der pharma chemica.	99162001410101452		0975-413X			
Der pharmacia lettre.			0975-5071			
Der radiologe.	 	0033-832X	1432-2102	0033-832X		
Der Unfallchirurg.	 	0177-5537	1433-044X	0177-5537		
Dermatitis.	99161941796201452	1710-3568	2162-5220	1710-3568		
Dermato-Endocrinology.	99161832461801452	1938-1972	1938-1980	1938-1972		
Dermatologia Kliniczna.	99157395050001452	1730-7201		1730-7201		
Dermatologia revista Mexicana.	99157817610001452	0185-4038		0185-4038		
Dermatologic clinics.	99158436070001452	0733-8635	1558-0520	0733-8635		
Dermatologic surgery.	99157817900001452	1076-0512	1524-4725	1076-0512		
Dermatologic therapy.	99157819760001452	1396-0296	1529-8019	1396-0296		
Dermatologica Sinica.	99158435200001452	1027-8117	2223-330X	1027-8117		
Dermatologie in Beruf und Umwelt.		1438-776X		1438-776X		
Dermatology.	99157770450001452	1018-8665	1421-9832	1018-8665		
Dermatology and therapy.	99161778056801452	2193-8210	2190-9172	2193-8210		
Dermatology nursing/Dermatology Nurses' Association.	99157818110001452		1060-3441			
Dermatology online journal.	99157331820001452	1087-2108		1087-2108		
Dermatology reports.	99157879490001452	2036-7392	2036-7406	2036-7392		
Dermatology research and practice.			1687-6113			
Dermatopathology.	99161820126301452		2296-3529			
Deutsche Apotheker Zeitung.		0011-9857		0011-9857		
Deutsche Medizinische wochenschrift.	99158511070001452	0012-0472	1439-4413	0012-0472		
Deutsche Zeitschrift fur Akupunktur.	99158469280001452	0415-6412	1439-4359	0415-6412		
Deutsche Zeitschrift fur onkologie.	99161766517101452	1617-5891	1439-0930	1617-5891		
Deutsches Arzteblatt international.	99157353890001452	1866-0452		1866-0452		
Developing world bioethics.	99157819650001452	1471-8731	1471-8847	1471-8731		
Development (Cambridge).	99157650210001452	0950-1991	1477-9129	0950-1991		
Development and psychopathology.	99161948347301452	0954-5794	1469-2198	0954-5794		
Development genes and Evolution.	99158908490001452	0949-944X	1432-041X	0949-944X		
Development growth and differentiation.	99157780130001452	0012-1592	1440-169X	0012-1592		
Developmental and comparative immunology.	99161967623301452	0145-305X	1879-0089	0145-305X		
Developmental biology.	99161967389801452	0012-1606	1095-564X	0012-1606		
Developmental cell.	99161967524901452	1534-5807	1878-1551	1534-5807		
Developmental cognitive neuroscience.	99158468370001452	1878-9293	1878-9307	1878-9293		
Developmental disabilities research reviews.	99157844460001452	1940-5510	1940-5529	1940-5510		
Developmental Dynamics.	99157792500001452	1058-8388	1097-0177	1058-8388		
Developmental medicine and child neurology.	99157792250001452	0012-1622	1469-8749	0012-1622		
Developmental neurobiology.	99158527130001452	1932-8451	1932-846X	1932-8451		
Developmental neuropsychology.	99157818910001452	8756-5641	1532-6942	8756-5641		
Developmental neurorehabilitation.	99157849710001452	1751-8423	1751-8431	1751-8423		
Developmental neuroscience.	99157751270001452	0378-5866	1421-9859	0378-5866		
Developmental period medicine.		1428-345X		1428-345X		
Developmental psychobiology.	99158527270001452	0012-1630	1098-2302	0012-1630		
Developmental psychology.	99158253630001452	0012-1649	1939-0599	0012-1649		
Developmental science.	99157819740001452	1363-755X	1467-7687	1363-755X		
Developments in biologicals.	 	1424-6074	1662-2960	1424-6074		
Developments in health economics and public policy.		0927-4987		0927-4987		
Developments in ophthalmology.	 	0250-3751	1662-2790	0250-3751		
Dhaka University journal of pharmaceutical sciences.	99157567840001452	1816-1820	1816-1839	1816-1820		
Diabetes.	99157650310001452	0012-1797	1939-327X	0012-1797		
Diabetes & metabolic syndrome.						
Diabetes Aktuell.	 	1861-6089	1864-1733	1861-6089		
Diabetes and metabolic syndrome: Clinical research and reviews.	99158433290001452	1871-4021	1878-0334	1871-4021		
Diabetes and metabolism.	99158448720001452	1262-3636	1878-1780	1262-3636		
Diabetes and metabolism journal.	99157671810001452	2233-6079	2233-6087	2233-6079		
Diabetes and vascular disease research.	99160483390001452	1479-1641	1752-8984	1479-1641		
Diabetes care. American Diabetes Association.	99157650330001452	0149-5992	1935-5548	0149-5992		
Diabetes educator.	99158501460001452	0145-7217	1554-6063	0145-7217		
Diabetes forecast.	99157574520001452	0095-8301		0095-8301		
Diabetes internacional.	99162001440601452	1856-965X		1856-965X		
Diabetes management.	 	1758-1907	1758-1915	1758-1907		
Diabetes Mellitus.	99161809594301452	2072-0351	2072-0378	2072-0351		
Diabetes research and clinical practice.	99158435960001452	0168-8227	1872-8227	0168-8227		
Diabetes self-management.		0741-6253		0741-6253		
Diabetes spectrum: a publication of the American Diabetes Association.	99157491580001452	1040-9165	1944-7353	1040-9165		
Diabetes technology & therapeutics.	99157751450001452	1520-9156	1557-8593	1520-9156		
Diabetes therapy.	99157395180001452	1869-6953	1869-6961	1869-6953		
"Diabetes, metabolic syndrome and obesity: Targets and therapy."	99157363510001452		1178-7007			
"Diabetes, obesity & metabolism."	99157818790001452	1462-8902	1463-1326	1462-8902		
"Diabetes, Stoffwechsel und herz."		1861-7603		1861-7603		
Diabetes/Metabolism research and reviews.	99158528640001452	1520-7552	1520-7560	1520-7552		
Diabetic Foot and ankle.	99157390190001452		2000-625X			
Diabetic hypoglycemia.			1757-2428			
Diabetic medicine.	99157817670001452	0742-3071	1464-5491	0742-3071		
Diabetologe.	 	1860-9716	1860-9724	1860-9716		
Diabetologia.	99158518140001452	0012-186X	1432-0428	0012-186X		
Diabetologia Croatica.	99157369220001452	0351-0042		0351-0042		
Diabetologia Kliniczna.	 	2084-4441	2299-2529	2084-4441		
Diabetologie metabolismus endokrinologie Vyziva.	99157492320001452	1211-9326	1212-6853	1211-9326		
Diabetologie und Stoffwechsel.	99158530700001452	1861-9002	1861-9010	1861-9002		
Diabetology and metabolic syndrome.	99157229450001452		1758-5996			
Diabetology international.	 	2190-1678	2190-1686	2190-1678		
Diagnosis.	99161835146801452	2194-8011	2194-802X	2194-8011		
Diagnostic and interventional imaging.	99158468490001452		2211-5684			
Diagnostic and interventional radiology.	99157355900001452	1305-3825	1305-3612	1305-3825		
Diagnostic and therapeutic endoscopy.	99157353170001452	1070-3608	1029-0516	1070-3608		
Diagnostic cytopathology.	99158529000001452	8755-1039	1097-0339	8755-1039		
Diagnostic histopathology.	99158434900001452	1756-2317	1876-7621	1756-2317		
Diagnostic microbiology and infectious disease.	99158433020001452	0732-8893	1879-0070	0732-8893		
Diagnostic molecular pathology.	99158505940001452	1052-9551	1533-4066	1052-9551		
Diagnostic pathology.	99157230980001452		1746-1596			
Diagnostico prenatal.		2173-4127		2173-4127		
Diagnostics.	99157419320001452		2075-4418			
Diagnostics in neuropsychiatry.	99161871086001452		2405-8017			
Dialisis y trasplante.	 	1886-2845	1886-7278	1886-2845		
Dialogues in cardiovascular medicine.		1272-9949		1272-9949		
Dialogues in clinical neuroscience.	99157447530001452	1294-8322		1294-8322		
Dialysis & transplantation.	99162017254801452	0090-2934	1932-6920	0090-2934		
Dictionaries: journal of the Dictionary Society of North America.	99161761559701452	0197-6745	2160-5076	0197-6745		
Die naturwissenschaften.	99158437300001452	0028-1042	1432-1904	0028-1042		
Die rehabilitation.	99158530460001452	0034-3536	1439-1309	0034-3536		
Differentiation.	99161967380001452	0301-4681	1432-0436	0301-4681		
Digestion.	99157752080001452	0012-2823	1421-9867	0012-2823		
Digestive & liver disease. Supplements.	99158435080001452	1594-5804	1878-3562	1594-5804		
Digestive and liver disease: official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver.	99158435060001452	1590-8658	1878-3562	1590-8658		
Digestive diseases.	99157770380001452	0257-2753	1421-9875	0257-2753		
Digestive diseases and sciences.	99158517370001452	0163-2116	1573-2568	0163-2116		
Digestive endoscopy: official journal of the Japan Gastroenterological Endoscopy Society.	99157818020001452	0915-5635	1443-1661	0915-5635		
Digestive surgery.	99157770650001452	0253-4886	1421-9883	0253-4886		
Digital journal of ophthalmology : DJO.	99157347600001452		1542-8958			
Dimensions of critical care nursing : DCCN.	99157818560001452	0730-4625	1538-8646	0730-4625		
Director : official publication of National Association of Directors of Nursing Administration in Long Term Care.		1551-8418		1551-8418		
Disability and health journal.	99158433670001452	1936-6574	1876-7583	1936-6574		
Disability and rehabilitation.	99157818420001452	0963-8288	1464-5165	0963-8288		
Disability and rehabilitation. Assistive technology.	99158191240001452	1748-3107	1748-3115	1748-3107		
Disability studies quarterly.	99157563280001452	1041-5718	2159-8371	1041-5718		
"Disability, handicap & society."	99157819270001452		0267-4645			
Disaster medicine and public health preparedness.	99161948352801452	1935-7893	1938-744X	1935-7893		
Disasters.	99157817250001452	0361-3666	1467-7717	0361-3666		
Discovery medicine.	 	1539-6509	1944-7930	1539-6509		
Disease management & health outcomes.						
"99157817730001452"""	1173-8790	2230-5971		2230-5971		
Disease management: DM.	99158193070001452	1093-507X	1557-8860	1093-507X		
Disease markers.	99157818580001452	0278-0240	1875-8630	0278-0240		
Disease-a-month.	99158433860001452	0011-5029	1557-8194	0011-5029		
Diseases of aquatic organisms.	99157490440001452	0177-5103	1616-1580	0177-5103		
Diseases of the Colon and rectum.	99158518420001452	0012-3706	1530-0358	0012-3706		
Diseases of the colon and rectum.	99158518420001452	0012-3706	1530-0358	0012-3706		
Diseases of the Esophagus.	99157819050001452	1120-8694	1442-2050	1120-8694		
Dissolution technologies.	99157446960001452	1521-298X		1521-298X		
Diving and hyperbaric medicine.		1833-3516		1833-3516		
DMM disease Models and Mechanisms.	99157391860001452	1754-8403	1754-8411	1754-8403		
DNA and cell biology.	99157751820001452	1044-5498	1557-7430	1044-5498		
DNA repair.	99161967543001452	1568-7864	1568-7856	1568-7864		
DNA research: an international journal for rapid publication of reports on genes and genomes.	99157370500001452	1340-2838	1756-1663	1340-2838		
DNA sequence: the journal of DNA sequencing and mapping.	99157818740001452	1042-5179	1029-2365	1042-5179		
Documenta ophthalmologica.	99158908480001452	0012-4486	1573-2622	0012-4486		
Dokkyo journal of medical sciences.	99157244050001452	0385-5023	0911-5900	0385-5023		
"Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections."	 	0012-4966	1608-3105	0012-4966		
Doklady. Biochemistry and biophysics.	99157818040001452	1607-6729	1608-3091	1607-6729		
DOLOR.		0214-0659		0214-0659		
"Dolor, clinica y terapia."		1665-3238		1665-3238		
Domestic animal endocrinology.	99161967378801452	0739-7240	1879-0054	0739-7240		
Donald School journal of Ultrasound in obstetrics and gynecology.	 	0973-614X	0975-1912	0973-614X		
Dong wu xue yan jiu = Zoological research.	99161948172901452 99161948172901452	2095-8137	2095-8137	2095-8137		
Dose-Response.	99157817470001452		1559-3258			
Douleur et analgesie.	 	1011-288X	1951-6398	1011-288X		
Douleurs.		1624-5687		1624-5687		
Drug and alcohol dependence.	99158435300001452	0376-8716	1879-0046	0376-8716		
Drug and alcohol review.	99157818680001452	0959-5236	1465-3362	0959-5236		
Drug and chemical toxicology.	99157819100001452	0148-0545	1525-6014	0148-0545		
Drug and therapeutics Bulletin.	 	0012-6543	1755-5248	0012-6543		
Drug delivery.	99157819350001452	1071-7544	1521-0464	1071-7544		
Drug delivery and translational research.	 	2190-393X	2190-3948	2190-393X		
Drug delivery letters.	 	2210-3031	2210-304X	2210-3031		
Drug delivery system.	99157666510001452	0913-5006	1881-2732	0913-5006		
"Drug design, development and therapy."	99157367790001452		1177-8881			
Drug development and delivery.	99157624280001452	1537-2898	1944-818X	1537-2898		
Drug development and industrial pharmacy.	99157885390001452	0363-9045	1520-5762	0363-9045		
Drug development research.	99158529400001452	0272-4391	1098-2299	0272-4391		
Drug discoveries and therapeutics.	99157858650001452	1881-7831	1881-784X	1881-7831		
Drug discovery today.	99161967555301452	1359-6446	1878-5832	1359-6446		
Drug discovery today. Therapeutic strategies.	99158436680001452		1740-6773			
Drug discovery Today: Disease Models.	99161967380501452		1740-6757			
Drug discovery Today: Technologies.	99161967380301452		1740-6749			
Drug discovery world.		1469-4344		1469-4344		
Drug formulary review.	99162113241401452		1548-2790			
Drug invention Today.	99157380580001452		0975-7619			
Drug metabolism and disposition: the biological fate of chemicals. American Society for Pharmacology and Experimental Therapeutics.	99157518930001452	0090-9556	1521-009X	0090-9556		
Drug metabolism and drug interactions.	 	0792-5077	2191-0162	0792-5077		
Drug metabolism and Personalized therapy.	 	2363-8907	2363-8915	2363-8907		
Drug metabolism and pharmacokinetics. Nihon Yakubutsu Do?????í???tai Gakkai.	99157343420001452	1347-4367	1880-0920	1347-4367		
Drug metabolism letters.	99162122861001452	1872-3128		1872-3128		
