Title,MMSID,ISSN,ISSN1,,
Fetal diagnosis and therapy.,99157751330001400,1015-3837,1421-9964,,
Feuillets de radiologie., ,0181-9801,1773-0376,,
Fibrogenesis and tissue repair.,99157229340001400,,1755-1536,,
Field analytical chemistry & technology.,,,,,
Filaria journal.,,,1475-2883,,
"Financial accountability & management in governments, public services, and charities.",99157884580001400,0267-4424,1468-0408,,
Financial management.,99157885220001400,†0046-3892,1755-053X,,
"Financial markets, institutions & instruments.",99157894730001400,0963-8008,1468-0416,,
Findings brief : health care financing & organization.,,,1553-0302,,
Fish & shellfish immunology.,99161967430101400,1050-4648,1095-9947,,
Fish physiology and biochemistry.,99158517720001400,0920-1742,1573-5168,,
Fitoterapia.,99161967634901400,0367-326X,1873-6971,,
Fiziologiia cheloveka.,,0131-1646,,,
FiziolohichnyÉ? zhurnal.,,,,,
Fizjoterapia.,99161835154501400,1230-8323,,,
Fizyoterapi rehabilitasyon.,99161966770701400,1300-8757,,,
Flavour and Fragrance journal.,99158527700001400,0882-5734,1099-1026,,
Flavour and fragrance journal.,99158527700001400,0882-5734,1099-1026,,
Florida nurse.,99157812860001400,0015-4199,,,
Fluids and Barriers of the CNS.,99157211470001400,,2045-8118,,
Fluoride.,99157352270001400,0015-4725,2253-4083,,
Fly.,99157614160001400,1933-6934,1933-6942,,
FMC formacion medica continuada en Atencion primaria., ,1134-2072,1578-9675,,
ÉÒksperimental'nai‘?Üa‘?∞ i klinicheskai‘?Üa‘?∞ gastroÉÛnterologii‘?Üa‘?∞ = Experimental & clinical gastroenterology.,,1682-8658,,,
Focus : a guide to AIDS research.,,1047-0719,,,
Focus on alternative and complementary therapies.,99160939910001400,1465-3753,2042-7166,,
Focus on Autism and other developmental disabilities.,99157814790001400,1088-3576,1538-4829,,
Focus on cancer medicine., ,1756-1205,1756-1213,,
Focus on Parkinson's disease.,,0924-2015,,,
Fogorvosi szemle.,,0015-5314,,,
Folia biologica.,99157479260001400,0015-5497,,,
Folia biologica (Czech Republic).,99157447270001400,0015-5500,1734-9168,,
Folia histochemica et cytobiologica.,99157353360001400,0239-8508,1897-5631,,
Folia medica.,99157398240001400,0204-8043,1314-2143,,
Folia medica - Facultatis medicinae Universitatis Saraeviensis.,99161936561701400,0352-9630,2303-6141,,
Folia medica Cracoviensia.,,0015-5616,,,
Folia microbiologica.,99157515070001400,0015-5632,1874-9356,,
Folia morphologica.,99157605190001400,0015-5659,1644-3284,,
Folia neuropathologica.,99161949292701400,1641-4640,1509-572X,,
Folia parasitologica.,99157515020001400,0015-5683,1803-6465,,
Folia pharmacologica Japonica.,99157664640001400,0015-5691,1347-8397,,
Folia phoniatrica et logopaedica : official organ of the International Association of Logopedics and Phoniatrics (IALP).,99157770940001400,1021-7762,1421-9972,,
Folia primatologica:  international journal of primatology.,99157751710001400,0015-5713,1421-9980,,
Food & function.,99157763390001400,2042-6496,2042-650X,,
"Food additives & contaminants. Part B, Surveillance.",99157844550001400,1939-3210,1939-3229,,
"Food additives and contaminants - Part A chemistry, Analysis, control, Exposure and Risk Assessment.",99157876660001400,1944-0049,1944-0057,,
Food and chemical toxicology.,99161967542201400,0278-6915,1873-6351,,
Food and drug law journal.,99158466280001452 99138711760001452,1064-590X,,,
Food and environmental Virology., ,1867-0334,1867-0342,,
Food and nutrition bulletin., ,0379-5721,1564-8265,,
Food and nutrition research.,99157485780001400,1654-661X,,,
Food and nutrition research. Supplement.,99157391680001400,1654-6628,,,
Food and Waterborne parasitology.,99161967488401400,,2405-6766,,
Food chemistry.,99161967608201400,0308-8146,1873-7072,,
Food control.,99161967420301400,0956-7135,1873-7129,,
Food hydrocolloids.,99161967405201400,0268-005X,1873-7137,,
Food insight/International Food Information Council.,99158192650001400,,1065-1497,,
Food microbiology.,99161967659501400,0740-0020,1095-9998,,
Food science & nutrition.,99157792140001400,2048-7177,,,
Food science and technology international = Ciencia y tecnolog??a de los alimentos internacional.,99158519950001400,1082-0132,1532-1738,,
Foodborne pathogens and disease.,99157770630001400,1535-3141,1556-7125,,
Foods matter.,99158210940001400,,1746-1324,,
Foot.,99158435610001400,0958-2592,1532-2963,,
Foot & ankle international/American orthopaedic Foot and ankle Society & Swiss Foot and ankle Society.,,,,,
Foot & ankle specialist.,99160483310001400,1938-6400,1938-7636,,
Foot and ankle clinics.,99158434290001400,1083-7515,1558-1934,,
Foot and ankle international.,99158502610001400,1071-1007,1944-7876,,
Foot and ankle surgery: official journal of the European Society of Foot and Ankle Surgeons.,99158436590001400,1268-7731,1460-9584,,
Fordham law review.,99157516080001400,0015-704X,,,
Forensic science international.,99158282570001400,0379-0738,1872-6283,,
Forensic science international Supplement Series.,99161967488601400,1875-1741,1875-1733,,
Forensic science international. Genetics.,99158435850001400,1872-4973,1878-0326,,
Forensic science international: Genetics.,99158435850001400,1872-4973,1878-0326,,
Forensic science international: Genetics Supplement Series.,99161967488901400,1875-1768,1875-175X,,
Forensic science review.,,1042-7201,,,
"Forensic science, medicine, and pathology.", ,1547-769X,1556-2891,,
Forensic toxicology., ,1860-8965,1860-8973,,
Formosan journal of Musculoskeletal disorders., ,2210-7940,2210-7959,,
Formosan journal of surgery.,99161967514701400,1682-606X,2213-5413,,
Formulary.,99157431780001400,1082-801X,1938-1166,,
Forschende Komplement?ßrmedizin = Research in complementary medicine., ,1661-4119,1661-4127,,
Fortschritte der Medizin. Originalien.,,,,,
Fortschritte der neurologie psychiatrie.,99158530840001400,0720-4299,1439-3522,,
Fortune.,99157611460001400,0015-8259,,,
Forum logop‰die.,99158192430001400,,0932-0547,,
Forum of clinical oncology.,99157399100001400,1792-345X,1792-362X,,
Forum on immunopathological diseases and therapeutics., ,2151-8017,2151-8025,,
Foundations of chemistry.,99157812950001400,1386-4238,1572-8463,,
Foundations of computational mathematics.,99157813490001400,1615-3375,1615-3383,,
Foundations of science.,99157812610001400,1233-1821,1572-8471,,
FP essentials., ,2159-3000,2161-9344,,
Free radical biology and medicine.,99161967634601400,0891-5849,1873-4596,,
Free radical research.,99157813640001400,1071-5762,1029-2470,,
Frontiers in Aging neuroscience.,99157385120001400,,1663-4365,,
Frontiers in anti-Cancer drug discovery.,,1879-6656,,,
Frontiers in anti-infective drug discovery., ,1879-663X,2451-9162,,
Frontiers in behavioral neuroscience.,99157368960001400,1662-5153,,,
Frontiers in bioscience - Elite., ,1945-0494,1945-0508,,
Frontiers in bioscience - Scholar., ,1945-0516,1945-0524,,
Frontiers in bioscience (Landmark edition).,,,1093-4715,,
Frontiers in cardiovascular drug discovery.,,1879-6648,,,
Frontiers in cellular and infection microbiology.,99158798730001400,,2235-2988,,
Frontiers in cellular neuroscience.,99157368970001400,1662-5102,,,
Frontiers in CNS drug discovery.,,1879-6613,,,
Frontiers in computational neuroscience.,99157368990001400,,1662-5188,,
Frontiers in diabetes., ,0251-5342,1662-2995,,
Frontiers in drug design and discovery., ,1574-0889,2212-1064,,
Frontiers in endocrinology.,99157384700001400,,1664-2392,,
Frontiers in genetics.,99157382550001400,,1664-8021,,
Frontiers in human neuroscience.,99157369020001400,,1662-5161,,
Frontiers in immunology.,99157382860001400,,1664-3224,,
Frontiers in integrative neuroscience.,99157369010001400,1662-5145,,,
Frontiers in medicinal chemistry., ,1567-2042,1875-5763,,
Frontiers in microbiology.,99157384680001400,,1664-302X,,
Frontiers in molecular neuroscience.,99157369050001400,1662-5099,,,
Frontiers in neural Circuits.,99157369030001400,1662-5110,,,
Frontiers in neuroanatomy.,99157369070001400,,1662-5129,,
Frontiers in neuroendrocrinology.,99158432510001400,0091-3022,1095-6808,,
Frontiers in neuroenergetics.,99157383150001400,,1662-6427,,
Frontiers in neuroengineering.,99157383140001400,1662-6443,,,
Frontiers in neuroinformatics.,99157369060001400,,1662-5196,,
Frontiers in neurology.,99157384270001400,,1664-2295,,
Frontiers in neurorobotics.,99157369090001400,,1662-5218,,
Frontiers in neuroscience.,99157368470001400,1662-4548,1662-453X,,
Frontiers in oncology.,99157402860001400,,2234-943X,,
Frontiers in pharmacology.,99157384340001400,,1663-9812,,
Frontiers in physiology.,99157384660001400,,1664-042X,,
Frontiers in psychiatry.,99157387330001400,,1664-0640,,
Frontiers in synaptic neuroscience.,99157384650001400,,1663-3563,,
Frontiers in systems neuroscience.,99157369080001400,1662-5137,,,
Frontiers of gastrointestinal research., ,0302-0665,1662-3754,,
Frontiers of health services management.,99157883670001400,0748-8157,,,
Frontiers of Hormone research., ,0301-3073,1662-3762,,
Frontiers of medicine., ,2095-0217,2095-0225,,
Frontiers of neurology and neuroscience., ,1660-4431,1662-2804,,
Frontiers of oral biology., ,1420-2433,1662-3770,,
Frontiers of radiation therapy and oncology., ,0071-9676,1662-3789,,
Frontline gastroenterology., ,2041-4137,2041-4145,,
Fukuoka igaku zasshi = Hukuoka acta medica.,99161761719501400,0016-254X,,,
Fukushima journal of medical science.,99157530150001400,0016-2590,2185-4610,,
Functional and integrative genomics.,99158516880001400,1438-793X,1438-7948,,
Functional neurology.,99161958023201400,0393-5264,1971-3274,,
Fundamenta informaticae.,99157812470001400,0169-2968,1875-8681,,
Fundamental and clinical pharmacology.,99157813900001400,0767-3981,1472-8206,,
Fungal biology.,99161967445301400,1878-6146,,,
Fungal genetics and biology.,99161967387701400,1087-1845,1096-0937,,
Fuss und sprunggelenk.,99161967633901400,1619-9987,1619-9995,,
Future cardiology.,99161956248601400,1479-6678,1744-8298,,
Future journal of pharmaceutical sciences.,99161967463201400,,2314-7245,,
Future medicinal chemistry.,99161961952301400,1756-8919,1756-8927,,
Future microbiology.,991618195101452,1746-0913,1746-0921,,
Future neurology., ,1479-6708,1748-6971,,
Future of children.,99157347270001400,1054-8289,1550-1558,,
Future oncology.,99161961952701400,1479-6694,1744-8301,,
Future prescriber.,99158527560001400,1468-9871,1931-2261,,
Future Virology.,991618196301452,1746-0794,1746-0808,,
G?©riatrie et psychologie neuropsychiatrie du vieillissement., ,2115-8789,2115-7863,,
"G3: genes, genomes, genetics.",99157409630001400,,2160-1836,,
GaBI journal., ,2033-6403,2033-6772,,
Gaceta medica de Bilbao.,99157318040001400,0304-4858,,,
Gaceta medica de Mexico.,99157471150001400,0016-3813,,,
Gaceta Mexicana de oncologia.,99161967553301400,1665-9201,,,
Gaceta sanitaria.,99157349640001400,0213-9111,1578-1283,,
Gait & posture.,,,,,
Gait and Posture.,99158433420001400,0966-6362,1879-2219,,
Galen medical journal., ,2322-2379,2228-5423,,
Games for health journal., ,2161-783X,2161-7856,,
Gaming law review.,99158282690001400,1092-1885,1557-8046,,
Gaming law review and economics.,99158283030001400,1097-5349,1941-5494,,
Gamma gazette.,,2200-9876,,,
Gastric and breast cancer.,99157492800001400,1109-7655,1109-7647,,
Gastric cancer.,99157498010001400,1436-3291,1436-3305,,
Gastroenterologe., ,1861-9681,1861-969X,,
Gastroenterologia Polska.,99157354830001400,1232-9886,,,
Gastroenterologia y hepatologia., ,0210-5705,1578-9519,,
Gastroenterological endoscopy.,99157679310001400,0387-1207,,,
Gastroenterologie a hepatologie., ,1804-7874,1804-803X,,
Gastroenterologie up2date/Editorinchief: Dr. Guido Adler.,99158511280001400,1616-9670,1616-9727,,
Gastroenterology.,99158433240001400,0016-5085,1528-0012,,
Gastroenterology and hepatology.,99157478250001400,1554-7914,,,
Gastroenterology and hepatology from Bed to Bench.,99157373300001400,2008-2258,2008-4234,,
Gastroenterology clinics of North America.,99158433480001400,0889-8553,1558-1942,,
Gastroenterology Insights.,99162050356801400,,2036-7422,,
Gastroenterology nursing : the official journal of the Society of Gastroenterology Nurses and Associates.,99158506670001400,1042-895X,1538-9766,,
Gastroenterology research and practice.,99157368060001400,1687-6121,1687-630X,,
Gastrointestinal cancer research.,99157564900001400,1934-7820,1934-7987,,
Gastrointestinal endoscopy.,99158435690001400,0016-5107,1097-6779,,
Gastrointestinal endoscopy clinics of North America.,99158436780001400,1052-5157,1558-1950,,
Gastrointestinal intervention.,99161854732101400,2213-1795,2213-1809,,
Gastrointestinal Tumors.,99161912757001400,2296-3774,2296-3766,,
Gazi medical journal.,,2147-2092,,,
Gazzetta medica Italiana Archivio per le scienze mediche.,,0393-3660,,,
Geburtshilfe und Frauenheilkunde.,99158530650001400,0016-5751,1438-8804,,
GED - Gastrenterologia endoscopia digestiva.,,0101-7772,,,
Gefahrstoffe reinhaltung der luft.,,0949-8036,,,
Gefasschirurgie., ,0948-7034,1434-3932,,
Gender medicine.,99158432420001400,1550-8579,1878-7398,,
Gene.,99161967652301400,0378-1119,1879-0038,,
Gene conserve.,99157370740001400,,1808-1878,,
Gene Expression.,,1052-2166,,,
Gene Expression patterns.,99161967550601400,1567-133X,1872-7298,,
Gene function & disease.,,,,,
Gene regulation and systems biology.,99157354350001400,,1177-6250,,
